epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
63,9001.09,1.43005,1.14071,1.25418,0.74834,0.62075,0.68728,0.39082,1.48967,1.04357,1.24329,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
64,9204.68,1.42768,1.1336,1.24978,0.75073,0.62464,0.68906,0.39061,1.48843,1.03895,1.24342,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
65,9407.76,1.42053,1.11702,1.24928,0.75095,0.62607,0.69052,0.39189,1.48703,1.03601,1.24309,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,9611.38,1.42872,1.11066,1.24414,0.75056,0.62714,0.69117,0.39243,1.48695,1.03456,1.24338,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,9815.04,1.41178,1.11286,1.24226,0.74919,0.62621,0.69246,0.39268,1.48578,1.03196,1.24267,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,10017.7,1.41181,1.10274,1.23927,0.75003,0.62732,0.69267,0.39333,1.48592,1.03061,1.2421,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,10220.4,1.40775,1.10474,1.23978,0.74796,0.63054,0.6937,0.39436,1.48471,1.02897,1.24106,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,10423.9,1.4039,1.0948,1.23703,0.74591,0.63168,0.69367,0.39446,1.48419,1.02805,1.24055,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,10628.7,1.40845,1.09765,1.23098,0.74359,0.6323,0.69371,0.39444,1.48376,1.02695,1.24026,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,10832.2,1.39904,1.08081,1.22729,0.74875,0.63196,0.69449,0.39499,1.48208,1.02704,1.23936,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,11036.2,1.3893,1.08352,1.22452,0.74601,0.63411,0.69508,0.39545,1.48142,1.02605,1.23904,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,11241,1.3905,1.07507,1.2248,0.74924,0.63089,0.69505,0.39608,1.48041,1.02524,1.23904,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,11446.3,1.38917,1.06595,1.21834,0.75086,0.63,0.69617,0.39707,1.47896,1.02445,1.23838,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,11653,1.38187,1.06545,1.22081,0.7449,0.63446,0.69587,0.39747,1.4774,1.02281,1.23751,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,11856.3,1.38164,1.06828,1.21831,0.74519,0.6366,0.69774,0.39824,1.47693,1.02143,1.2374,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,12061.6,1.3767,1.06135,1.21839,0.74463,0.63786,0.69738,0.39882,1.47609,1.01997,1.23739,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,12266.1,1.37717,1.04942,1.21489,0.74533,0.6381,0.69764,0.3997,1.47496,1.01848,1.23711,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,12470.3,1.37102,1.04702,1.20998,0.74281,0.64161,0.69796,0.40019,1.47364,1.01782,1.23658,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,12673.6,1.35467,1.03641,1.20734,0.74245,0.64196,0.69806,0.40074,1.4731,1.01633,1.2365,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
