epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
81,573.894,0.77489,1.32807,0.51153,1.12108,0,0.96113,0.8677,0.94498,0.67249,0.95685,0.90785,0.95255,0.67313,1.0336,1.75836,0.57695,1.51051,0,0.000416,0.000416,0.000416
82,580.595,0.77903,1.32446,0.50508,1.13451,0,0.91613,0.91813,0.94926,0.64558,0.92369,0.92398,0.94524,0.64189,1.08272,1.85469,0.56322,1.5987,0,0.0003962,0.0003962,0.0003962
83,587.104,0.78627,1.31523,0.51123,1.13173,0,0.93345,0.87135,0.93881,0.66392,0.93997,0.87719,0.93294,0.65006,1.02227,1.70429,0.58819,1.47894,0,0.0003764,0.0003764,0.0003764
84,595.286,0.78993,1.37162,0.51849,1.13554,0,0.95042,0.90058,0.94589,0.66446,0.95042,0.90058,0.94156,0.65076,1.04369,1.76308,0.57362,1.53855,0,0.0003566,0.0003566,0.0003566
85,603.298,0.73517,1.28948,0.48529,1.10273,0,0.96117,0.86855,0.95047,0.67082,0.97411,0.88025,0.94079,0.65844,1.0229,1.75587,0.55763,1.49797,0,0.0003368,0.0003368,0.0003368
86,611.308,0.75426,1.28424,0.47082,1.11062,0,0.93377,0.90693,0.94527,0.67251,0.94581,0.91863,0.95058,0.65548,1.02866,1.78155,0.55011,1.50333,0,0.000317,0.000317,0.000317
87,617.959,0.76068,1.2879,0.49461,1.10887,0,0.94511,0.90621,0.95931,0.66308,0.94997,0.90643,0.95646,0.65536,1.039,1.70457,0.55424,1.5056,0,0.0002972,0.0002972,0.0002972
88,624.633,0.76822,1.31107,0.50045,1.11704,0,0.96082,0.8655,0.94334,0.65648,0.95726,0.91813,0.95881,0.65531,1.05681,1.72119,0.55737,1.55372,0,0.0002774,0.0002774,0.0002774
89,631.488,0.74802,1.27782,0.48331,1.10534,0,0.93037,0.89474,0.9435,0.64437,0.93658,0.90058,0.93855,0.64319,1.08041,1.72951,0.57971,1.5485,0,0.0002576,0.0002576,0.0002576
90,638.022,0.75576,1.2955,0.48059,1.10529,0,0.90041,0.90058,0.93754,0.65722,0.9029,0.92441,0.9441,0.65603,1.05506,1.71623,0.58285,1.52846,0,0.0002378,0.0002378,0.0002378
91,645.096,0.68565,1.1316,0.41507,1.14504,0,0.9247,0.89474,0.9414,0.66596,0.95675,0.90556,0.95262,0.66368,1.04823,1.73201,0.55233,1.53216,0,0.000218,0.000218,0.000218
92,651.605,0.67105,1.10819,0.38378,1.12562,0,0.8948,0.92982,0.95331,0.67268,0.95615,0.89259,0.95054,0.66749,1.01142,1.71256,0.5457,1.49233,0,0.0001982,0.0001982,0.0001982
93,658.06,0.63309,1.09072,0.35886,1.10368,0,0.90955,0.88208,0.92149,0.63515,0.95024,0.89332,0.94848,0.64346,1.03167,1.75904,0.57372,1.54394,0,0.0001784,0.0001784,0.0001784
94,664.902,0.63451,1.07127,0.35387,1.0827,0,0.88936,0.89314,0.9302,0.64716,0.90202,0.91523,0.93903,0.6489,1.03875,1.77424,0.57044,1.54743,0,0.0001586,0.0001586,0.0001586
